,id,question,code_concise,code_verbose,answer,predict
262,263,List shipments in May with delay_minutes > 30.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","Unfortunately, I was not able to get your answer. Please try again."
263,264,How many shipments occurred on Fridays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",143
264,265,What was the average delay in November?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",51.03333333333333
265,266,List shipments in November with delay_minutes > 30.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","Empty DataFrame
Columns: [id, route, warehouse, delivery_time, delay_minutes, delay_reason, date]
Index: []"
266,267,What is the daily delay rate for the last 14 days?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","         date  total_delay_minutes  total_shipments  daily_delay_rate
0  2024-12-30                215.0                2             107.5
1  2024-12-29                 84.0                2              42.0
2  2024-12-28                143.0                2              71.5
3  2024-12-27                 68.0                2              34.0
4  2024-12-26                 27.0                2              13.5
5  2024-12-25                122.0                2              61.0
6  2024-12-24                 90.0                2              45.0
7  2024-12-23                 20.0                2              10.0
8  2024-12-22                 88.0                2              44.0
9  2024-12-21                134.0                2              67.0
10 2024-12-20                142.0                2              71.0
11 2024-12-19                127.0                2              63.5
12 2024-12-18                105.0                2              52.5
13 2024-12-17                181.0                2              90.5
14 2024-12-16                 60.0                2              30.0"
267,268,Show correlation between delivery_time and delay_minutes for Route B.,result = df['delivery_time'].corr(df['delay_minutes']),"# correlation between delivery_time and delay_minutes
result = df['delivery_time'].corr(df['delay_minutes'])
",-0.004137855444638635,0.05088014220470247
268,269,Show the bottom 3 warehouses by average delivery_time.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  average_delivery_time
0       WH4               5.451840
1       WH3               5.464298
2       WH2               5.527119"
269,270,What is the daily delay rate for the last 14 days?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","         date  total_delay_minutes  total_shipments  daily_delay_rate
0  2024-12-30                215.0                2             107.5
1  2024-12-29                 84.0                2              42.0
2  2024-12-28                143.0                2              71.5
3  2024-12-27                 68.0                2              34.0
4  2024-12-26                 27.0                2              13.5
5  2024-12-25                122.0                2              61.0
6  2024-12-24                 90.0                2              45.0
7  2024-12-23                 20.0                2              10.0
8  2024-12-22                 88.0                2              44.0
9  2024-12-21                134.0                2              67.0
10 2024-12-20                142.0                2              71.0
11 2024-12-19                127.0                2              63.5
12 2024-12-18                105.0                2              52.5
13 2024-12-17                181.0                2              90.5
14 2024-12-16                 60.0                2              30.0"
270,271,List shipments in June with delay_minutes > 30.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","     id    route warehouse  delivery_time  delay_minutes      delay_reason  \
0   153  Route B       WH1           5.17             71   Minor Breakdown   
1   154  Route B       WH3           6.01             73   Minor Breakdown   
2   156  Route C       WH4           5.02            105           Traffic   
3   159  Route D       WH2           4.32            109     Customs Delay   
4   162  Route A       WH3           4.73             61           Traffic   
5   163  Route E       WH4           4.24            117       Driver Rest   
6   164  Route E       WH1           4.20             85     Customs Delay   
7   165  Route C       WH1           4.99             94           Traffic   
8   167  Route C       WH1           5.28             74       Driver Rest   
9   171  Route E       WH4           6.89             48   Minor Breakdown   
10  173  Route D       WH4           5.21            112           Traffic   
11  174  Route E       WH3           5.31             73           Weather   
12  175  Route C       WH1           6.76             52     Customs Delay   
13  176  Route D       WH3           6.24             41     Customs Delay   
14  177  Route E       WH3           4.51            116           Weather   
15  179  Route E       WH3           5.71            105  Mechanical Issue   
16  180  Route B       WH1           4.43             76           Traffic   
17  181  Route A       WH1           4.84            109       Driver Rest   
18  517  Route C       WH1           4.54             61           Traffic   
19  518  Route E       WH3           6.92            120     Customs Delay   
20  519  Route E       WH4           5.29             53   Minor Breakdown   
21  520  Route B       WH3           6.56             98       Driver Rest   
22  521  Route A       WH1           4.81             99     Customs Delay   
23  522  Route C       WH2           5.42            117           Traffic   
24  523  Route B       WH4           4.01             98           Traffic   
25  529  Route E       WH3           4.54             76           Traffic   
26  531  Route B       WH4           4.14             55       Driver Rest   
27  532  Route B       WH1           6.93             44       Driver Rest   
28  533  Route E       WH3           6.79             69  Mechanical Issue   
29  535  Route E       WH1           5.21             61       Driver Rest   
30  536  Route E       WH3           6.66             97           Traffic   
31  537  Route E       WH2           5.34             32     Customs Delay   
32  540  Route E       WH1           5.65             79  Mechanical Issue   
33  541  Route D       WH1           4.93             79           Weather   
34  546  Route A       WH1           6.98            106       Driver Rest   
35  882  Route A       WH4           4.18             87       Driver Rest   
36  884  Route B       WH1           4.93             85  Mechanical Issue   
37  886  Route A       WH1           4.50             67           Traffic   
38  889  Route E       WH4           5.18             69  Mechanical Issue   
39  890  Route C       WH1           4.90             48   Minor Breakdown   
40  893  Route A       WH1           5.31             89           Weather   
41  894  Route E       WH1           4.48             94   Minor Breakdown   
42  897  Route E       WH2           6.50            120     Customs Delay   
43  898  Route C       WH2           4.28             66  Mechanical Issue   
44  899  Route B       WH3           4.54            120     Customs Delay   
45  900  Route A       WH4           4.08             95  Mechanical Issue   
46  901  Route C       WH3           6.14            112           Traffic   
47  902  Route D       WH4           4.84             67     Customs Delay   
48  903  Route B       WH4           6.86             40  Mechanical Issue   
49  906  Route C       WH2           4.47            115           Traffic   
50  907  Route C       WH1           4.10             81   Minor Breakdown   
51  908  Route B       WH3           5.08             71   Minor Breakdown   
52  909  Route E       WH2           5.32             82           Weather   
53  910  Route A       WH2           5.33             47       Driver Rest   
54  911  Route B       WH2           6.48            110     Customs Delay   

         date  
0  2024-06-02  
1  2024-06-03  
2  2024-06-05  
3  2024-06-08  
4  2024-06-11  
5  2024-06-12  
6  2024-06-13  
7  2024-06-14  
8  2024-06-16  
9  2024-06-20  
10 2024-06-22  
11 2024-06-23  
12 2024-06-24  
13 2024-06-25  
14 2024-06-26  
15 2024-06-28  
16 2024-06-29  
17 2024-06-30  
18 2024-06-01  
19 2024-06-02  
20 2024-06-03  
21 2024-06-04  
22 2024-06-05  
23 2024-06-06  
24 2024-06-07  
25 2024-06-13  
26 2024-06-15  
27 2024-06-16  
28 2024-06-17  
29 2024-06-19  
30 2024-06-20  
31 2024-06-21  
32 2024-06-24  
33 2024-06-25  
34 2024-06-30  
35 2024-06-01  
36 2024-06-03  
37 2024-06-05  
38 2024-06-08  
39 2024-06-09  
40 2024-06-12  
41 2024-06-13  
42 2024-06-16  
43 2024-06-17  
44 2024-06-18  
45 2024-06-19  
46 2024-06-20  
47 2024-06-21  
48 2024-06-22  
49 2024-06-25  
50 2024-06-26  
51 2024-06-27  
52 2024-06-28  
53 2024-06-29  
54 2024-06-30  "
271,272,Show delay reason counts for WH1.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","       delay_reason  count
0              None     45
1           Traffic     45
2  Mechanical Issue     41
3       Driver Rest     39
4   Minor Breakdown     37
5           Weather     34
6     Customs Delay     31"
272,273,Show delay reason counts for WH2.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","       delay_reason  count
0              None     43
1           Weather     37
2           Traffic     35
3       Driver Rest     35
4  Mechanical Issue     30
5   Minor Breakdown     29
6     Customs Delay     27"
273,274,Which route had the longest average delay in August?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The route with the longest average delay in August is 'Route B' with an average delay of 65.5 minutes.
274,275,List shipments in February with delay_minutes > 30.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","     id    route warehouse  delivery_time  delay_minutes      delay_reason  \
0    32  Route D       WH2           6.78             51           Weather   
1    33  Route E       WH3           5.89             59     Customs Delay   
2    36  Route C       WH3           6.08             99           Weather   
3    37  Route B       WH4           6.25             79     Customs Delay   
4    39  Route E       WH3           4.93             84           Weather   
5    40  Route C       WH4           6.79            118  Mechanical Issue   
6    42  Route D       WH1           5.54             67           Weather   
7    44  Route C       WH3           4.88            107     Customs Delay   
8    48  Route A       WH1           4.12             41   Minor Breakdown   
9    49  Route E       WH1           6.15             60       Driver Rest   
10   52  Route C       WH1           4.98             69  Mechanical Issue   
11   53  Route B       WH3           6.61             78           Traffic   
12   54  Route E       WH3           6.41             96     Customs Delay   
13   56  Route B       WH2           5.97             91           Weather   
14   57  Route E       WH3           4.60            118           Traffic   
15   58  Route B       WH1           6.25             88           Traffic   
16   59  Route E       WH3           6.10             82       Driver Rest   
17  398  Route E       WH4           4.20            115       Driver Rest   
18  399  Route D       WH1           4.27            109       Driver Rest   
19  402  Route E       WH4           5.70             99   Minor Breakdown   
20  403  Route C       WH2           6.45             63   Minor Breakdown   
21  404  Route C       WH4           5.98             59           Weather   
22  405  Route B       WH2           4.33            116           Traffic   
23  406  Route E       WH1           6.65             61           Weather   
24  407  Route A       WH1           5.55             74  Mechanical Issue   
25  409  Route B       WH2           5.34             54  Mechanical Issue   
26  411  Route E       WH2           4.57            114       Driver Rest   
27  413  Route B       WH2           6.76             46           Traffic   
28  414  Route E       WH3           5.53             63     Customs Delay   
29  416  Route A       WH1           5.95             98       Driver Rest   
30  417  Route A       WH2           4.63             54           Weather   
31  418  Route E       WH2           6.21             54           Traffic   
32  419  Route A       WH3           4.06             32           Weather   
33  421  Route C       WH1           6.84             91   Minor Breakdown   
34  422  Route D       WH1           4.77             53   Minor Breakdown   
35  423  Route D       WH4           6.95             70           Weather   
36  424  Route E       WH3           5.95             71   Minor Breakdown   
37  761  Route E       WH4           4.78             96     Customs Delay   
38  762  Route A       WH2           6.98             80     Customs Delay   
39  763  Route A       WH2           5.26             98           Weather   
40  766  Route E       WH3           4.69             38  Mechanical Issue   
41  767  Route D       WH1           5.63            114       Driver Rest   
42  769  Route B       WH2           5.97             90       Driver Rest   
43  770  Route C       WH4           5.70             60   Minor Breakdown   
44  772  Route C       WH2           6.01             44       Driver Rest   
45  773  Route C       WH1           6.55             31  Mechanical Issue   
46  774  Route D       WH2           5.02             77  Mechanical Issue   
47  775  Route D       WH1           4.23             74       Driver Rest   
48  776  Route E       WH2           5.24             57   Minor Breakdown   
49  777  Route C       WH2           4.96            104   Minor Breakdown   
50  778  Route C       WH1           6.68             62       Driver Rest   
51  780  Route E       WH3           4.43            104       Driver Rest   
52  782  Route E       WH4           5.10             98           Weather   
53  784  Route A       WH4           5.84            116           Weather   
54  785  Route A       WH1           6.10             71  Mechanical Issue   
55  786  Route A       WH2           4.07             76   Minor Breakdown   
56  787  Route B       WH3           6.91             92       Driver Rest   

         date  
0  2024-02-02  
1  2024-02-03  
2  2024-02-06  
3  2024-02-07  
4  2024-02-09  
5  2024-02-10  
6  2024-02-12  
7  2024-02-14  
8  2024-02-18  
9  2024-02-19  
10 2024-02-22  
11 2024-02-23  
12 2024-02-24  
13 2024-02-26  
14 2024-02-27  
15 2024-02-28  
16 2024-02-29  
17 2024-02-03  
18 2024-02-04  
19 2024-02-07  
20 2024-02-08  
21 2024-02-09  
22 2024-02-10  
23 2024-02-11  
24 2024-02-12  
25 2024-02-14  
26 2024-02-16  
27 2024-02-18  
28 2024-02-19  
29 2024-02-21  
30 2024-02-22  
31 2024-02-23  
32 2024-02-24  
33 2024-02-26  
34 2024-02-27  
35 2024-02-28  
36 2024-02-29  
37 2024-02-01  
38 2024-02-02  
39 2024-02-03  
40 2024-02-06  
41 2024-02-07  
42 2024-02-09  
43 2024-02-10  
44 2024-02-12  
45 2024-02-13  
46 2024-02-14  
47 2024-02-15  
48 2024-02-16  
49 2024-02-17  
50 2024-02-18  
51 2024-02-20  
52 2024-02-22  
53 2024-02-24  
54 2024-02-25  
55 2024-02-26  
56 2024-02-27  "
275,276,What is the rolling 7-day average delay_minutes?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","          date  rolling_7_day_avg_delay
0   2024-01-01                56.000000
1   2024-01-01                43.500000
2   2024-01-02                46.000000
3   2024-01-02                34.500000
4   2024-01-02                45.000000
..         ...                      ...
995 2024-12-28                44.142857
996 2024-12-29                40.571429
997 2024-12-29                42.142857
998 2024-12-30                59.000000
999 2024-12-30                64.000000

[1000 rows x 2 columns]"
276,277,What is the average delivery_time for Route A?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",5.546960784313725
277,278,Which warehouse had the most shipments in July?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The warehouse with the most shipments in July is WH2.
278,279,Show the bottom 3 warehouses by average delivery_time.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  avg_delivery_time
0       WH4           5.451840
1       WH3           5.464298
2       WH2           5.527119"
279,280,How many shipments from WH3 had delays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",203
280,281,Show the bottom 3 warehouses by average delivery_time.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  avg_delivery_time
0       WH4           5.451840
1       WH3           5.464298
2       WH2           5.527119"
281,282,Show delay reason counts for WH1.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","       delay_reason  count
0           Traffic     45
1              None     45
2  Mechanical Issue     41
3       Driver Rest     39
4   Minor Breakdown     37
5           Weather     34
6     Customs Delay     31"
282,283,What is the average delivery_time for Route E?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",5.45333333333333
283,284,What was the average delay in December?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",48.95
284,285,Show correlation between delivery_time and delay_minutes for Route A.,result = df['delivery_time'].corr(df['delay_minutes']),"# correlation between delivery_time and delay_minutes
result = df['delivery_time'].corr(df['delay_minutes'])
",-0.004137855444638635,-0.02936237135725956
285,286,How many shipments occurred on Tuesdays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",143
286,287,Which warehouse had the most shipments in June?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The warehouse with the most shipments in June is WH1.
287,288,Show the bottom 3 warehouses by average delivery_time.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  avg_delivery_time
0       WH4           5.451840
1       WH3           5.464298
2       WH2           5.527119"
288,289,How many shipments occurred on Mondays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",14
289,290,Show the bottom 3 warehouses by average delivery_time.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  avg_delivery_time
0       WH4           5.451840
1       WH3           5.464298
2       WH2           5.527119"
290,291,What was the average delay in October?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",49.935483870967744
291,292,What is the average delivery_time for Route E?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",5.45333333333333
292,293,What is the rolling 7-day average delay_minutes?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","         date  rolling_7_day_avg
0  2024-01-01          56.000000
1  2024-01-01          43.500000
2  2024-01-02          46.000000
3  2024-01-02          34.500000
4  2024-01-02          45.000000
..        ...                ...
87 2024-01-30          27.857143
88 2024-01-30          32.142857
89 2024-01-31          22.571429
90 2024-01-31          32.285714
91 2024-01-31          29.428571

[92 rows x 2 columns]"
293,294,Show delay reason counts for WH2.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","       delay_reason  count
0              None     43
1           Weather     37
2           Traffic     35
3       Driver Rest     35
4  Mechanical Issue     30
5   Minor Breakdown     29
6     Customs Delay     27"
294,295,Show the bottom 3 warehouses by average delivery_time.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","  warehouse  avg_delivery_time
0       WH4           5.451840
1       WH3           5.464298
2       WH2           5.527119"
295,296,What is the rolling 7-day average delay_minutes?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","          date  rolling_7_day_avg_delay
0   2024-01-01                56.000000
1   2024-01-01                43.500000
2   2024-01-02                46.000000
3   2024-01-02                34.500000
4   2024-01-02                45.000000
..         ...                      ...
995 2024-12-28                44.142857
996 2024-12-29                40.571429
997 2024-12-29                42.142857
998 2024-12-30                59.000000
999 2024-12-30                64.000000

[1000 rows x 2 columns]"
296,297,List shipments in July with delay_minutes > 30.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","     id    route warehouse  delivery_time  delay_minutes      delay_reason  \
0   182  Route C       WH4           4.79            120           Traffic   
1   183  Route A       WH1           4.64             57  Mechanical Issue   
2   184  Route A       WH4           6.75             68     Customs Delay   
3   185  Route A       WH2           4.50             42   Minor Breakdown   
4   187  Route B       WH1           5.44             65  Mechanical Issue   
..  ...      ...       ...            ...            ...               ...   
61  936  Route E       WH2           6.02             70           Traffic   
62  937  Route B       WH1           5.83             51           Traffic   
63  940  Route E       WH1           5.38            100           Weather   
64  941  Route C       WH3           6.00             82     Customs Delay   
65  942  Route A       WH4           4.44             75  Mechanical Issue   

         date  
0  2024-07-01  
1  2024-07-02  
2  2024-07-03  
3  2024-07-04  
4  2024-07-06  
..        ...  
61 2024-07-25  
62 2024-07-26  
63 2024-07-29  
64 2024-07-30  
65 2024-07-31  

[66 rows x 7 columns]"
297,298,What is the average delivery_time for Route D?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",5.461773399014778
298,299,Show the top 3 routes by total delay_minutes.,result = df.groupby('route')['delay_minutes'].sum().sort_values(ascending=False).head(3),"result = df.groupby('route')['delay_minutes'].sum().sort_values(ascending=False).head(5).reset_index(name='total_delay')
","route
Route E    11580
Route A    10776
Route B    10569
Name: delay_minutes, dtype: int64","     route  total_delay_minutes
0  Route E              11580.0
1  Route A              10776.0
2  Route B              10569.0"
299,300,How many shipments from WH3 had delays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",203
300,301,Which warehouse had the most shipments in February?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The warehouse with the most shipments in February is WH2.
301,302,What is the daily delay rate for the last 14 days?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","         date  total_delay_minutes  total_shipments  daily_delay_rate
0  2024-12-30                215.0                2             107.5
1  2024-12-29                 84.0                2              42.0
2  2024-12-28                143.0                2              71.5
3  2024-12-27                 68.0                2              34.0
4  2024-12-26                 27.0                2              13.5
5  2024-12-25                122.0                2              61.0
6  2024-12-24                 90.0                2              45.0
7  2024-12-23                 20.0                2              10.0
8  2024-12-22                 88.0                2              44.0
9  2024-12-21                134.0                2              67.0
10 2024-12-20                142.0                2              71.0
11 2024-12-19                127.0                2              63.5
12 2024-12-18                105.0                2              52.5
13 2024-12-17                181.0                2              90.5
14 2024-12-16                 60.0                2              30.0"
302,303,Show delay reason counts for WH1.,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}","       delay_reason  count
0           Traffic     45
1              None     45
2  Mechanical Issue     41
3       Driver Rest     39
4   Minor Breakdown     37
5           Weather     34
6     Customs Delay     31"
303,304,Show the top 3 routes by total delay_minutes.,result = df.groupby('route')['delay_minutes'].sum().sort_values(ascending=False).head(3),"result = df.groupby('route')['delay_minutes'].sum().sort_values(ascending=False).head(5).reset_index(name='total_delay')
","route
Route E    11580
Route A    10776
Route B    10569
Name: delay_minutes, dtype: int64","     route  total_delay
0  Route E      11580.0
1  Route A      10776.0
2  Route B      10569.0"
304,305,Which warehouse had the most shipments in December?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The warehouse with the most shipments in December is WH4 with 19 shipments.
305,306,Which day of week has highest average delay_minutes?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The day of the week with the highest average delay_minutes is Monday with an average of 113.67 minutes.
